sensor name,F0,S1,S2
B06,552168.4,2433.509,1.609919
B7,589629.9,2541.449,0.765341
B8,602983.5,2267.806,2.315885
B9,567547.7,2465.268,1.565919
B10,580967.6,2332.126,1.638405
B11,524864.5,2508.11,1.106818
C06,560067.8,2578.849,1.214563
C7,578326.6,2407.514,1.7425
C8,557608.4,2337.287,2.030533
C9,567988.8,2355.524,2.043421
C10,591318.8,2403.766,2.334755
C11,585321.6,2325.591,2.620199
A06,484948.9,2489.418,1.665402
A7,523950.9,2453.176,1.758671
A8,509256.3,2534.543,1.811226
A9,442263.6,2593.943,1.296835
A10,489979.1,2625.902,1.658034
A11,483252.3,2525.516,1.4485
S3,471949.9,2688.576,0.665805
S4,479851.2,3009.743,-1.1824
S5,474247.3,3053.746,-1.46487
S06,494652.8,3212.17,-2.20557
S7,495090.8,2959.491,-0.71287
S8,486322.1,2731.884,0.768787
H3,548431.7,2577.378,1.215799
H4,582401.2,2544.884,1.246645
H5,447981,2541.06,1.051675
H6,473313.9,2619.804,1.134349
H7,490489.3,2534.028,1.298001
H8,583602.9,2623.487,1.215842
G3,458373.3,2587.339,1.640148
G4,460577.2,2864.502,0.268446
G5,439380.9,3076.117,-0.42768
G6,460629.2,2643.407,0.919304
G7,449510.6,2845.325,0.035857
G8,481098.2,2711.051,1.342153
D3,520234.3,2586.287,1.721789
D4,495802.1,2584.145,1.545985
D5,512195.2,2656.649,1.401587
D6,528043.3,2554.89,1.795031
D7,513732.2,2562.912,1.767816
D8,588368.2,2601.95,1.82653
F3,526523.6,2675.197,0.799919
F4,515471.7,2616.749,1.442015
F5,504002.1,2755.903,0.638274
F6,577387.3,2652.007,1.366996
F7,533235.8,2530.559,1.808191
F8,542553.1,2596.527,1.800745
E3,529471.8,2443.752,1.848922
E4,532125.7,2597.608,1.142456
E5,441916,2490.966,0.92683
E6,550020.5,2554.743,1.677882
E7,567235.1,2553.432,1.885055
E8,504661.8,2617.291,0.299174
S50,465962,3040.8,-8.9196
